id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,end_lat,end_lng,end_postal_code,start_planning_area,start_planning_area_id,start_subzone,start_subzone_id,start_street_name,start_street_id,end_planning_area,end_planning_area_id,end_subzone,end_subzone_id,end_street_name,end_street_id
112,,8/1/2018,THE GLADES,flash_flood,,,,,1.327081,103.947772,469601,,,,BEDOK,000001,BEDOK SOUTH,000157,NEW UPPER CHANGI ROAD,030514,,,,,,
113,,8/1/2018,JALAN NIPAH,flash_flood,,,,,1.325939,103.95278,468585,,,,BEDOK,000001,BEDOK SOUTH,000157,JALAN NIPAH,030735,,,,,,
114,,8/1/2018,PAYA LEBAR QUARTER,flash_flood,,,,,1.316174,103.893139,437161,,,,GEYLANG,000053,GEYLANG EAST,000121,PAYA LEBAR ROAD,002779,,,,,,
115,,8/1/2018,ARUMUGAM ROAD,flash_flood,,,,,1.325178,103.891377,409961,,,,GEYLANG,000053,KAMPONG UBI,000099,ARUMUGAM ROAD,000343,,,,,,
116,,8/1/2018,CHANGI FIRE STATION,flash_flood,,,,,1.33488,103.951353,486123,,,,TAMPINES,000047,SIMEI,000196,UPPER CHANGI ROAD,002443,,,,,,
117,,8/1/2018,TAMPINES AVENUE 12,flash_flood,,,,,1.363297,103.944612,521637,,,,TAMPINES,000047,TAMPINES NORTH,000169,TAMPINES AVENUE 12,026250,,,,,,
118,,9/1/2018,134 TANJONG PAGAR ROAD,flash_flood,,,,,1.277471,103.843403,088534,,,,OUTRAM,000046,CHINATOWN,000003,CRAIG ROAD,039867,,,,,,
119,,24/1/2018,CRAIG ROAD,flash_flood,,,,,1.277854,103.842278,089688,,,,OUTRAM,000046,CHINATOWN,000003,CRAIG ROAD,042894,,,,,,
120,,24/1/2018,PSC BUILDING,flash_flood,,,,,1.328863,103.706189,629813,,,,JURONG WEST,000013,KIAN TECK,000105,INTERNATIONAL ROAD,024765,,,,,,
121,,30/1/2018,SELETAR NORTH LINK,flash_flood,,,,,1.424892,103.883643,797359,,,,SELETAR,000018,PULAU PUNGGOL BARAT,000308,SELETAR NORTH LINK,055060,,,,,,
122,,31/1/2018,ANG MO KIO INDUSTRIAL PARK 2,flash_flood,,,,,1.371047,103.862851,569500,,,,SERANGOON,000021,SERANGOON NORTH IND ESTATE,000112,ANG MO KIO INDUSTRIAL PARK 2,046349,,,,,,
123,,17/3/2018,21229,flash_flood,,,,,1.342064,103.71602,648923,,,,JURONG WEST,000013,TAMAN JURONG,000208,CORPORATION ROAD,006366,,,,,,
124,,30/3/2018,BUKIT BATOK ROAD,flash_flood,,,,,1.363244,103.742569,659203,,,,TENGAH,000049,BRICKLAND,000285,BUKIT BATOK ROAD,023597,,,,,,
125,,30/3/2018,CHOA CHU KANG AVENUE 1,flash_flood,,,,,1.37744,103.744383,680253,,,,CHOA CHU KANG,000009,KEAT HONG,000173,HONG SAN WALK,008152,,,,,,
126,,30/3/2018,CHUA CHU KANG CEMETERY OFFICE,flash_flood,,,,,1.374358,103.693645,698910,,,,WESTERN WATER CATCHMENT,000032,MURAI,000307,OLD CHOA CHU KANG ROAD,036424,,,,,,
127,,30/3/2018,LIM CHU KANG FARMWAY,flash_flood,,,,,1.428068,103.704222,718921,,,,LIM CHU KANG,000023,LIM CHU KANG,000311,PERAHU ROAD,038546,,,,,,
128,,7/4/2018,MARYMOUNT MRT STATION,flash_flood,,,,,1.348707,103.839423,570302,,,,BISHAN,000051,UPPER THOMSON,000328,MARYMOUNT ROAD,019677,,,,,,
129,,20/4/2018,TENGAH FLYOVER,flash_flood,,,,,1.363822,103.707043,648170,,,,TENGAH,000049,TENGAH INDUSTRIAL ESTATE,000113,KRANJI EXPRESSWAY,010786,,,,,,
130,,23/4/2018,40191,flash_flood,,,,,1.312686,103.830427,259978,,,,NEWTON,000044,ORANGE GROVE,000063,STEVENS ROAD,043343,,,,,,
131,,23/4/2018,GILSTEAD 2,flash_flood,,,,,1.31496,103.838459,307997,,,,NOVENA,000025,MOULMEIN,000140,GILSTEAD ROAD,030384,,,,,,
132,,27/4/2018,SELETAR NORTH LINK,flash_flood,,,,,1.424892,103.883643,797359,,,,SELETAR,000018,PULAU PUNGGOL BARAT,000308,SELETAR NORTH LINK,055060,,,,,,
133,,1/5/2018,BLK 448 CLEMENTI AVENUE 3,flash_flood,,,,,1.31332,103.764517,120448,,,,CLEMENTI,000010,CLEMENTI CENTRAL,000128,CLEMENTI AVENUE 3,017399,,,,,,
134,,26/5/2018,KRAMAT LANE,flash_flood,,,,,1.300979,103.842274,228750,,,,ORCHARD,000045,SOMERSET,000079,KRAMAT LANE,043573,,,,,,
135,,26/5/2018,CAVENAGH ROAD,flash_flood,,,,,1.308095,103.84214,229491,,,,NEWTON,000044,ISTANA NEGARA,000074,CAVENAGH ROAD,042072,,,,,,
136,,20/6/2018,21229,flash_flood,,,,,1.342064,103.71602,648923,,,,JURONG WEST,000013,TAMAN JURONG,000208,CORPORATION ROAD,006366,,,,,,
137,,26/6/2018,ENG NEO FLYOVER,flash_flood,,,,,1.339976,103.806539,288303,,,,BUKIT TIMAH,000006,HILLCREST,000191,ENG NEO AVENUE,038724,,,,,,
138,,26/6/2018,TOH TUCK AVENUE,flash_flood,,,,,1.33054,103.758726,596226,,,,CLEMENTI,000010,TOH TUCK,000189,TOH TUCK AVENUE,076717,,,,,,
139,,26/6/2018,KISMIS ROAD,flash_flood,,,,,1.335544,103.771203,599430,,,,BUKIT TIMAH,000006,ANAK BUKIT,000152,KISMIS ROAD,011390,,,,,,
