id,amenity_type,amenity_name,postalcode,lat,lon,amenity_category_id,pa_id,sz_id,rn_id
355,atm,uob,088539,1.2744387,103.8434532,4,40,33,594
356,bank,uob,082001,1.274899,103.8425428,4,46,3,9784
357,cafe,pancake boss martabak manis,188735,1.298025,103.8554522,9,40,47,347
358,atm,uob,038970,1.2997208,103.8633996,4,40,12,5541
359,atm,uob,078881,1.2765001,103.8454988,4,40,37,10010
360,atm,uob,088542,1.2736766,103.8429905,4,40,33,590
361,atm,uob,018957,1.2826842,103.8598035,4,40,8,441
362,fuel,shell,149731,1.2974825,103.8033958,4,17,89,6271
363,doctors,tc family clinic,640526,1.3475136,103.7170846,6,13,261,31990
364,dentist,ngoi dental surgery,640526,1.3474136,103.7170843,6,13,261,31990
365,clinic,central clinic surgery,440081,1.3024141,103.9072184,6,39,143,45674
366,dentist,smile arts dental studio,440081,1.3024587,103.9071876,6,39,143,45674
367,fast_food,domino's,758382,1.4270063,103.8261636,9,50,218,25555
368,car_rental,chan's car rental,758379,1.4264488,103.8259502,11,50,218,24966
369,taxi,buona vista station,139350,1.30662,103.7905002,11,17,70,10977
370,restaurant,two blur guys,209002,1.3132952,103.8597476,9,22,117,475
371,restaurant,jia xiang sarawak kolo mee,078878,1.2751331,103.8446859,9,40,37,583
372,atm,uob,400005,1.3212689,103.9035944,4,53,121,41266
373,fast_food,the pack,339511,1.3099738,103.8640723,9,22,131,826
374,cafe,balance coffee,329683,1.3211032,103.8527268,9,25,175,1658
375,bar,u-bar thai bistro,329754,1.323802,103.8516244,9,25,175,26317
376,restaurant,annapoorna,218108,1.3112306,103.8557707,9,22,117,2474
377,taxi,katong shopping centre,437844,1.3038245,103.901338,11,39,72,45281
378,restaurant,baan kanom thai,209000,1.3132062,103.8603959,9,22,117,832
379,cafe,starbucks,658713,1.3499505,103.7492933,9,3,200,24233
380,cafe,triplets,169608,1.2795501,103.8352364,9,4,46,2032
381,restaurant,kaffe & toast,169608,1.279534,103.8349655,9,4,46,10236
