id,text,event_date,location,event,start_loc,end_loc,parent_road,cleaned_location,start_lat,start_lng,start_postal_code,start_pa_id,start_sz_id,start_rn_id,origin_lat,origin_lng,end100_a_lat,end100_a_lng,end100_b_lat,end100_b_lng,end_lat,end_lng,end_postal_code,end_pa_id,end_sz_id,end_rn_id,origin_rn_id,origin_pa_id,origin_sz_id,start_rn_id2,start_pa_id3,start_sz_id4,end_rn_id5,end_pa_id6,end_sz_id7,end100_a_rn_id,end100_a_pa_id,end100_a_sz_id,end100_b_rn_id,end100_b_pa_id,end100_b_sz_id
86,,8/2/2017,ORCHARD MRT EXIT 10,flash_flood,,,,,1.304048,103.831124,238878,45,73,89,1.304115063,103.8310442,1.304802289,103.8316278,1.3038595,103.8308472,,,,0,0,0,89,45,73,89,45,73,,,,89,45,73,89,45,73
87,,8/2/2017,STAMFORD HOUSE,flash_flood,,,,,1.294162,103.850711,179949,40,88,355,1.294340217,103.850824,1.293858065,103.8515842,1.2944574,103.8506392,,,,0,0,0,355,40,88,355,40,88,,,,355,40,88,282,43,78
88,,18/4/2017,MOUNT ELIZABETH MEDICAL CENTRE,flash_flood,,,,,1.322137,103.844361,329562,25,175,32831,1.321773476,103.8447333,1.3214892,103.8443224,1.3219801,103.8449657,,,,0,0,0,32831,25,140,32831,25,140,,,,32830,25,140,22328,25,140
89,,18/4/2017,UNIVERSITY FLYOVER,flash_flood,,,,,1.303247,103.771674,120611,17,51,3389,1.303165878,103.7712853,1.3036653,103.7712803,1.302796479,103.7719437,,,,0,0,0,3389,10,60,3389,10,60,,,,1142,10,60,3389,10,60
90,,18/4/2017,69 BOON KENG ROAD,flash_flood,,,,,1.317147,103.862497,339772,22,174,304,1.317040949,103.8624115,1.317600897,103.8617059,1.316887,103.8626036,,,,0,0,0,304,22,174,304,22,174,,,,304,22,174,469,22,131
91,,18/4/2017,40191 (BUS STOP),flash_flood,,,,,1.312686,103.830427,259978,44,63,1328,1.312738948,103.8304402,1.3125548,103.8311602,1.3129034,103.8297794,,,,0,0,0,1328,44,63,1328,44,63,,,,1328,44,63,1328,44,63
92,,18/4/2017,09191 (BUS STOP),flash_flood,,,,,1.304887,103.825498,247918,45,142,510,1.304909753,103.8255487,1.3046751,103.825654,1.3056011,103.8251977,,,,0,0,0,510,45,142,510,45,142,,,,510,45,142,168,45,142
93,,21/4/2017,UPPER CROSS STREET,flash_flood,,,,,1.285862,103.842811,58288,46,18,666,1.285869419,103.8428172,1.2857854,103.8429177,1.286607452,103.842341,,,,0,0,0,666,46,18,666,46,18,,,,648,46,6,666,46,18
94,,27/4/2017,KOVAN ROAD,flash_flood,,,,,1.358496,103.881234,548534,11,162,28005,1.358492745,103.8812372,1.3581369,103.8808786,1.3586098,103.8813552,,,,0,0,0,28005,11,162,28005,11,162,,,,28012,11,162,28005,11,162
95,,27/4/2017,63139 (BUS STOP),flash_flood,,,,,1.361202,103.891412,532373,11,186,27379,1.36119376,103.891413,1.361299671,103.8923054,1.3611535,103.891072,,,,0,0,0,27379,11,186,27379,11,186,,,,27379,11,186,16440,11,186
96,,27/4/2017,TAI SENG DRIVE,flash_flood,,,,,1.337758,103.893213,535222,11,202,28033,1.337749266,103.8932315,1.338097525,103.8938609,1.336940177,103.8928305,,,,0,0,0,28033,11,202,28033,11,202,,,,28033,11,202,16253,11,202
